ID Pengaduan,Issue Sosial,Provinsi,Kabupaten/Kota,Kecamatan,lat,lng,Tanggal Pengaduan,Severity Level,Status,Durasi Penyelesaian (Jam),Aksi Kriminal,Kriminal Teratasi,Pria,Wanita,Total
2190,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.546667,123.055832,08/12/2025 04:56:13,3 - Sedang (2-12 Jam),Dalam Proses,13.49,14,11,475,266,741
2210,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,KOTA TIMUR,0.54779,123.077845,08/16/2025 14:36:13,3 - Sedang (2-12 Jam),Dalam Proses,17.11,12,4,150,119,269
409,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.547866,123.051375,08/11/2025 15:49:13,2  - Tinggi (1-2 Jam),Selesai,1.38,31,23,253,68,321
5765,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.548314,123.062549,08/09/2025 12:42:13,2  - Tinggi (1-2 Jam),Selesai,1.71,24,3,12,245,257
70,Banjir,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5483894,123.0573292,08/13/2025 17:48:13,2  - Tinggi (1-2 Jam),Selesai,1.03,0,0,323,17,340
2205,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5483937,123.0573671,08/05/2025 23:05:13,3 - Sedang (2-12 Jam),Dalam Proses,13.06,37,36,231,333,564
2208,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.548444,123.051209,08/20/2025 06:38:13,1 - Kritis (<30 Menit),Selesai,0.43,19,0,300,254,554
2211,Jalan Rusak,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5484592,123.0577135,08/22/2025 05:29:13,4 - Rendah (>24 Jam),Selesai,7.87,41,9,326,317,643
7023,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA SELATAN,0.5484631,123.0568397,08/01/2025 22:31:13,1 - Kritis (<30 Menit),Selesai,0.31,24,20,114,457,571
7042,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.55352,123.056706,08/05/2025 01:40:13,2  - Tinggi (1-2 Jam),Selesai,1.3,35,26,38,210,248
33613,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.5555964,123.0567612,08/10/2025 00:59:13,2  - Tinggi (1-2 Jam),Selesai,1.42,36,12,258,208,466
3955,Jalan Rusak,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.5556079,123.0566315,08/01/2025 17:52:13,4 - Rendah (>24 Jam),Selesai,23.98,11,9,79,387,466
3956,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.556408,123.063603,08/05/2025 05:00:13,2  - Tinggi (1-2 Jam),Selesai,1.1,28,10,497,291,788
9787,Banjir,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.559659,123.048294,08/02/2025 23:35:13,2  - Tinggi (1-2 Jam),Selesai,0.66,45,3,192,62,254
9793,Banjir,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.560253,123.055562,08/04/2025 10:38:13,1 - Kritis (<30 Menit),Selesai,0.41,8,7,239,203,442
2560,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,KOTA TENGAH,0.560672,123.054147,08/14/2025 20:18:13,2  - Tinggi (1-2 Jam),Selesai,1.23,11,7,94,26,120
9800,Banjir,GORONTALO,KOTA GORONTALO,DUNGINGI,0.561338,123.042378,08/06/2025 11:12:13,1 - Kritis (<30 Menit),Selesai,0.25,7,2,18,349,367
9803,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,DUNGINGI,0.562632,123.040814,08/22/2025 04:49:13,2  - Tinggi (1-2 Jam),Selesai,1.76,12,11,136,117,253
9804,Pencemaran Lingkungan,GORONTALO,KOTA GORONTALO,DUNGINGI,0.566288,123.042394,08/07/2025 06:29:13,3 - Sedang (2-12 Jam),Selesai,6.6,46,8,147,286,433
9810,Bantuan Kesehatan,GORONTALO,GORONTALO,BONGOMEME,0.5692733,122.8084496,08/21/2025 17:31:13,3 - Sedang (2-12 Jam),Ditugaskan,21.17,41,24,444,247,691
9814,Bantuan Kesehatan,GORONTALO,KOTA GORONTALO,SIPATANA,0.571224,123.057261,08/15/2025 06:45:13,2  - Tinggi (1-2 Jam),Selesai,1.62,37,36,138,16,154
2563,Gangguan Keamanan,GORONTALO,KOTA GORONTALO,KOTA UTARA,0.571474,123.084528,08/22/2025 02:26:13,2  - Tinggi (1-2 Jam),Selesai,0.4,34,2,222,41,263
1554,Banjir,GORONTALO,GORONTALO,TELAGA,0.581463,123.041291,08/18/2025 08:47:13,1 - Kritis (<30 Menit),Selesai,0.35,5,3,381,334,715
2187,Gangguan Keamanan,GORONTALO,GORONTALO,TELAGA,0.5867134,123.035284,08/12/2025 12:20:13,1 - Kritis (<30 Menit),Selesai,0.3,42,3,166,461,627
2193,Banjir,GORONTALO,GORONTALO,TELAGA BIRU,0.590926,123.036385,08/21/2025 13:45:13,2  - Tinggi (1-2 Jam),Selesai,1.48,5,5,78,242,320
2206,Pencemaran Lingkungan,GORONTALO,GORONTALO,LIMBOTO,0.626502,122.990481,08/17/2025 03:08:13,4 - Rendah (>24 Jam),Selesai,7.96,35,18,295,5,300
1537,Jalan Rusak,GORONTALO,GORONTALO,LIMBOTO,0.6270779,122.9840045,08/11/2025 19:46:13,4 - Rendah (>24 Jam),Dalam Proses,58.46,20,14,422,414,836
1538,Jalan Rusak,GORONTALO,GORONTALO,LIMBOTO,0.627696,122.979576,08/08/2025 22:00:13,4 - Rendah (>24 Jam),Selesai,12.44,41,4,447,293,740
1541,Bantuan Kesehatan,GORONTALO,GORONTALO,PULUBALA,0.696171,122.701789,08/10/2025 02:08:13,2  - Tinggi (1-2 Jam),Selesai,1.33,29,16,212,268,480
1542,Sampah,GORONTALO,GORONTALO,TELAGA,0.697264,123.042223,08/09/2025 13:56:13,4 - Rendah (>24 Jam),Selesai,23.79,38,35,97,91,188
9807,Gangguan Keamanan,GORONTALO,GORONTALO UTARA,KWANDANG,0.8375151,122.9155289,08/10/2025 08:54:13,1 - Kritis (<30 Menit),Selesai,0.12,0,0,121,63,184
2562,Pencemaran Lingkungan,JAWA TIMUR,TUBAN,BANCAR,-6.75863,111.694466,08/14/2025 19:30:13,3 - Sedang (2-12 Jam),Selesai,11.65,9,1,97,297,394
2564,Banjir,JAWA TIMUR,TUBAN,JENU,-6.799783481,111.9342374,08/16/2025 17:11:13,1 - Kritis (<30 Menit),Selesai,0.34,2,2,236,410,646
1534,Banjir,JAWA TIMUR,TUBAN,JENU,-6.82426,111.980724,08/15/2025 16:33:13,1 - Kritis (<30 Menit),Selesai,0.09,39,33,305,313,618
2561,Jalan Rusak,JAWA TIMUR,TUBAN,JENU,-6.83174,112.001,08/08/2025 17:46:13,3 - Sedang (2-12 Jam),Selesai,7.54,4,0,203,406,609
32018,Gangguan Keamanan,JAWA TIMUR,TUBAN,JENU,-6.8321,112.001,08/20/2025 16:33:13,2  - Tinggi (1-2 Jam),Selesai,1.35,9,6,424,177,601
6316,Sampah,JAWA TIMUR,TUBAN,JENU,-6.837721,112.009692,08/15/2025 21:51:13,3 - Sedang (2-12 Jam),Ditugaskan,21.32,2,0,235,202,437
2565,Gangguan Keamanan,JAWA TIMUR,TUBAN,JENU,-6.83772,112.009692,08/06/2025 17:48:13,2  - Tinggi (1-2 Jam),Selesai,4.99,0,0,264,159,423
2566,Pencemaran Lingkungan,JAWA TIMUR,TUBAN,JENU,-6.847439,112.010377,08/09/2025 09:07:13,3 - Sedang (2-12 Jam),Selesai,11.72,43,15,495,264,759
2567,Gangguan Keamanan,JAWA TIMUR,TUBAN,JATIROGO,-6.85308,111.6636359,08/16/2025 18:11:13,1 - Kritis (<30 Menit),Selesai,0.13,8,8,145,103,248
7848,Sampah,JAWA TIMUR,TUBAN,JATIROGO,-6.86286,111.686458,08/17/2025 05:26:13,3 - Sedang (2-12 Jam),Selesai,8.18,32,23,1,468,469
9636,Gangguan Keamanan,JAWA TIMUR,LAMONGAN,PACIRAN,-6.8691,112.3649675,08/17/2025 23:29:13,2  - Tinggi (1-2 Jam),Selesai,1.4,21,18,85,234,319
9637,Banjir,JAWA TIMUR,LAMONGAN,PACIRAN,-6.8699965,112.3414011,08/19/2025 15:30:13,2  - Tinggi (1-2 Jam),Selesai,0.2,10,6,328,277,605
9641,Pencemaran Lingkungan,JAWA TIMUR,LAMONGAN,PACIRAN,-6.87015,112.345,08/09/2025 21:31:13,4 - Rendah (>24 Jam),Selesai,15.68,19,14,437,253,690
9642,Banjir,JAWA TIMUR,LAMONGAN,PACIRAN,-6.87045,112.342,08/05/2025 01:54:13,2  - Tinggi (1-2 Jam),Selesai,1.14,26,23,148,71,219
9645,Gangguan Keamanan,JAWA TIMUR,LAMONGAN,BRONDONG,-6.871063894,112.2824936,08/22/2025 02:33:13,1 - Kritis (<30 Menit),Ditugaskan,3.42,8,2,219,338,557
9649,Pencemaran Lingkungan,JAWA TIMUR,LAMONGAN,BRONDONG,-6.8718,112.2851468,08/17/2025 05:28:13,4 - Rendah (>24 Jam),Selesai,7.66,40,32,402,107,509
1430,Jalan Rusak,JAWA TIMUR,LAMONGAN,PACIRAN,-6.873000996,112.3059223,08/02/2025 09:39:13,3 - Sedang (2-12 Jam),Selesai,9.67,0,0,101,238,339
1432,Banjir,JAWA TIMUR,LAMONGAN,BRONDONG,-6.87384,112.295,08/22/2025 11:06:13,1 - Kritis (<30 Menit),Selesai,0.4,10,5,360,148,508
1441,Bantuan Kesehatan,JAWA TIMUR,TUBAN,MERAKURAK,-6.874023,111.968265,08/13/2025 09:03:13,2  - Tinggi (1-2 Jam),Selesai,0.58,22,15,140,159,299
1444,Kebakaran,JAWA TIMUR,LAMONGAN,PACIRAN,-6.87756,112.394021,08/20/2025 22:19:13,1 - Kritis (<30 Menit),Selesai,1.71,4,1,264,119,383
2182,Pencemaran Lingkungan,JAWA TIMUR,LAMONGAN,BRONDONG,-6.882513,112.27139,08/09/2025 08:28:13,3 - Sedang (2-12 Jam),Selesai,8.69,43,10,71,182,253
1513,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.88557,112.027,08/02/2025 19:14:13,3 - Sedang (2-12 Jam),Selesai,8.75,6,1,357,319,676
1515,Banjir,JAWA TIMUR,TUBAN,TUBAN,-6.885697693,112.0283608,08/19/2025 03:47:13,2  - Tinggi (1-2 Jam),Selesai,0.6,49,0,228,186,414
2026,Sampah,JAWA TIMUR,TUBAN,JATIROGO,-6.8875,111.657,08/05/2025 22:45:13,3 - Sedang (2-12 Jam),Selesai,7,19,14,471,98,569
2027,Jalan Rusak,JAWA TIMUR,TUBAN,TUBAN,-6.88774,112.031,08/08/2025 07:04:13,4 - Rendah (>24 Jam),Selesai,15.85,28,18,379,402,781
8574,Gangguan Keamanan,JAWA TIMUR,GRESIK,PANCENG,-6.88842,112.454896,08/17/2025 20:27:13,2  - Tinggi (1-2 Jam),Selesai,0.67,32,2,43,164,207
8578,Bantuan Kesehatan,JAWA TIMUR,GRESIK,PANCENG,-6.888665157,112.4588669,08/15/2025 11:56:13,2  - Tinggi (1-2 Jam),Selesai,1.96,45,42,493,211,704
2001,Jalan Rusak,JAWA TIMUR,TUBAN,TUBAN,-6.8887005,112.0518461,08/02/2025 13:12:13,3 - Sedang (2-12 Jam),Selesai,1.12,8,7,355,394,749
3021,Bantuan Kesehatan,JAWA TIMUR,TUBAN,JATIROGO,-6.88942,111.6639216,08/13/2025 03:16:13,2  - Tinggi (1-2 Jam),Selesai,1.65,38,26,86,106,192
6888,Jalan Rusak,JAWA TIMUR,TUBAN,TUBAN,-6.89011,112.0567274,08/08/2025 21:15:13,3 - Sedang (2-12 Jam),Dalam Proses,15.13,21,9,3,370,373
6488,Pencemaran Lingkungan,JAWA TIMUR,GRESIK,PANCENG,-6.890952,112.457458,08/03/2025 19:27:13,3 - Sedang (2-12 Jam),Dalam Proses,14.03,49,14,195,485,680
777,Pencemaran Lingkungan,JAWA TIMUR,BANGKALAN,TANJUNGBUMI,-6.89158,113.0865669,08/03/2025 09:22:13,4 - Rendah (>24 Jam),Selesai,18.63,3,3,431,109,540
782,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.891917895,112.0492675,08/04/2025 16:24:13,2  - Tinggi (1-2 Jam),Selesai,1.85,24,23,79,343,422
2559,Sampah,JAWA TIMUR,SAMPANG,KETAPANG,-6.89249,113.2928347,08/12/2025 06:15:13,4 - Rendah (>24 Jam),Selesai,45.02,5,5,223,345,568
234,Sampah,JAWA TIMUR,SAMPANG,KETAPANG,-6.892492515,113.2928347,08/14/2025 20:17:13,3 - Sedang (2-12 Jam),Selesai,7.89,5,1,199,207,406
9379,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.892801,112.053518,08/18/2025 16:53:13,2  - Tinggi (1-2 Jam),Selesai,0.52,20,8,170,431,601
9380,Sampah,JAWA TIMUR,TUBAN,TUBAN,-6.89478,112.048,08/02/2025 13:33:13,3 - Sedang (2-12 Jam),Selesai,2.93,6,5,276,14,290
9381,Sampah,JAWA TIMUR,TUBAN,TUBAN,-6.89489,112.049,08/19/2025 12:09:13,4 - Rendah (>24 Jam),Selesai,19.48,0,0,74,356,430
9382,Sampah,JAWA TIMUR,TUBAN,TUBAN,-6.89491,112.041675,08/17/2025 06:11:13,4 - Rendah (>24 Jam),Selesai,8.54,49,33,477,468,945
9383,Banjir,JAWA TIMUR,BANGKALAN,KLAMPIS,-6.89506,112.908,08/14/2025 21:53:13,2  - Tinggi (1-2 Jam),Selesai,0.73,21,19,280,423,703
9384,Sampah,JAWA TIMUR,SAMPANG,KETAPANG,-6.895284,113.282725,08/12/2025 23:37:13,3 - Sedang (2-12 Jam),Selesai,6.34,29,26,459,169,628
9385,Jalan Rusak,JAWA TIMUR,TUBAN,TUBAN,-6.89538,112.07,08/20/2025 17:32:13,3 - Sedang (2-12 Jam),Selesai,4.87,18,8,477,453,930
9386,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.89542,112.062,08/01/2025 21:45:13,1 - Kritis (<30 Menit),Selesai,0.28,17,8,34,359,393
9387,Bantuan Pendidikan,JAWA TIMUR,BANGKALAN,KLAMPIS,-6.895472,112.8959858,08/18/2025 05:19:13,4 - Rendah (>24 Jam),Selesai,12.72,47,30,275,367,642
9393,Kebakaran,JAWA TIMUR,BANGKALAN,KLAMPIS,-6.895472,112.895986,08/11/2025 00:46:13,1 - Kritis (<30 Menit),Selesai,0.33,14,6,329,275,604
9395,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.895856,112.061458,08/02/2025 00:03:13,2  - Tinggi (1-2 Jam),Selesai,1.62,16,6,205,324,529
9396,Banjir,JAWA TIMUR,TUBAN,TUBAN,-6.89586,112.061458,08/04/2025 10:24:13,1 - Kritis (<30 Menit),Selesai,0.38,43,23,317,25,342
9397,Pencemaran Lingkungan,JAWA TIMUR,SAMPANG,SOKOBANAH,-6.896122,113.477745,08/02/2025 10:59:13,3 - Sedang (2-12 Jam),Selesai,11.22,33,23,11,119,130
9405,Pencemaran Lingkungan,JAWA TIMUR,TUBAN,TUBAN,-6.896365421,112.0462571,08/14/2025 08:31:13,4 - Rendah (>24 Jam),Selesai,22.99,36,22,208,347,555
9406,Jalan Rusak,JAWA TIMUR,SAMPANG,BANYUATES,-6.897646628,113.1480743,08/04/2025 02:10:13,4 - Rendah (>24 Jam),Selesai,18.07,19,7,355,90,445
9407,Gangguan Keamanan,JAWA TIMUR,SAMPANG,BANYUATES,-6.89765,113.1480743,08/11/2025 04:05:13,1 - Kritis (<30 Menit),Selesai,0.48,17,7,304,444,748
9408,Jalan Rusak,JAWA TIMUR,TUBAN,TUBAN,-6.898468,112.057995,08/21/2025 09:55:13,3 - Sedang (2-12 Jam),Selesai,11.39,3,0,465,174,639
9409,Gangguan Keamanan,JAWA TIMUR,SAMPANG,BANYUATES,-6.898713,113.162045,08/07/2025 09:20:13,2  - Tinggi (1-2 Jam),Selesai,1.38,6,2,486,265,751
9410,Sampah,JAWA TIMUR,TUBAN,TUBAN,-6.898804913,112.0690467,08/10/2025 20:28:13,4 - Rendah (>24 Jam),Selesai,30.44,5,5,458,23,481
9411,Banjir,JAWA TIMUR,TUBAN,TUBAN,-6.89888,112.059,08/17/2025 08:18:13,1 - Kritis (<30 Menit),Selesai,0.13,46,19,209,256,465
9412,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.898932727,112.0685961,08/04/2025 19:54:13,2  - Tinggi (1-2 Jam),Selesai,1.85,33,7,197,221,418
9413,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.899203,112.0626,08/09/2025 18:29:13,1 - Kritis (<30 Menit),Selesai,0.48,6,3,118,418,536
9414,Gangguan Keamanan,JAWA TIMUR,SAMPANG,BANYUATES,-6.899366,113.17229,08/16/2025 03:14:13,2  - Tinggi (1-2 Jam),Selesai,1.26,36,8,246,280,526
9415,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.89953,112.0686176,08/06/2025 01:27:13,2  - Tinggi (1-2 Jam),Selesai,1.1,24,16,185,43,228
9416,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.8996,112.0685821,08/09/2025 07:24:13,2  - Tinggi (1-2 Jam),Selesai,1.93,24,2,191,87,278
9417,Banjir,JAWA TIMUR,TUBAN,TUBAN,-6.89966,112.0683386,08/04/2025 12:03:13,2  - Tinggi (1-2 Jam),Selesai,0.75,19,3,429,286,715
9418,Pencemaran Lingkungan,JAWA TIMUR,SAMPANG,SOKOBANAH,-6.899882,113.394027,08/11/2025 21:36:13,3 - Sedang (2-12 Jam),Selesai,7.55,46,36,4,342,346
9419,Banjir,JAWA TIMUR,TUBAN,PALANG,-6.90012,112.166,08/04/2025 15:10:13,1 - Kritis (<30 Menit),Selesai,0.32,25,14,126,269,395
9420,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.9002694,112.0488869,08/01/2025 14:03:13,1 - Kritis (<30 Menit),Selesai,0.1,13,6,390,161,551
9421,Banjir,JAWA TIMUR,TUBAN,TUBAN,-6.90042,112.064,08/18/2025 19:34:13,2  - Tinggi (1-2 Jam),Selesai,1.39,34,33,361,444,805
9422,Gangguan Keamanan,JAWA TIMUR,TUBAN,PALANG,-6.900489,112.117528,08/08/2025 05:39:13,2  - Tinggi (1-2 Jam),Selesai,1.61,40,14,248,458,706
9424,Bantuan Pendidikan,JAWA TIMUR,TUBAN,PALANG,-6.90049,112.117528,08/14/2025 13:03:13,4 - Rendah (>24 Jam),Selesai,23.06,33,0,499,33,532
3670,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.90101,112.044042,08/10/2025 19:42:13,2  - Tinggi (1-2 Jam),Selesai,0.83,11,0,91,372,463
3671,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.9019,112.055,08/09/2025 15:23:13,2  - Tinggi (1-2 Jam),Selesai,1.01,33,11,150,169,319
6166,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.90237,112.0573114,08/16/2025 15:29:13,2  - Tinggi (1-2 Jam),Selesai,1.42,18,7,404,68,472
23448,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.90242,112.057221,08/02/2025 08:35:13,3 - Sedang (2-12 Jam),Selesai,11.75,10,5,202,266,468
21535,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.90257,112.0577574,08/09/2025 04:19:13,1 - Kritis (<30 Menit),Selesai,0.19,27,3,71,2,73
25589,Sampah,JAWA TIMUR,TUBAN,TUBAN,-6.90278,112.05898,08/06/2025 20:23:13,3 - Sedang (2-12 Jam),Selesai,6.29,6,5,111,276,387
23243,Jalan Rusak,JAWA TIMUR,TUBAN,SEMANDING,-6.90293,112.044,08/05/2025 22:38:13,4 - Rendah (>24 Jam),Dalam Proses,44.16,4,0,369,76,445
11572,Gangguan Keamanan,JAWA TIMUR,TUBAN,SEMANDING,-6.902971,112.043739,08/17/2025 12:52:13,2  - Tinggi (1-2 Jam),Ditugaskan,4.58,49,39,89,127,216
21609,Gangguan Keamanan,JAWA TIMUR,TUBAN,TUBAN,-6.90366,112.058,08/19/2025 08:05:13,2  - Tinggi (1-2 Jam),Selesai,1.01,38,18,75,330,405
13882,Bantuan Kesehatan,JAWA TIMUR,TUBAN,TUBAN,-6.90435,112.057945,08/16/2025 18:01:13,3 - Sedang (2-12 Jam),Selesai,8.07,48,3,480,196,676
6385,Sampah,JAWA TIMUR,TUBAN,SEMANDING,-6.90461,112.062,08/04/2025 08:38:13,3 - Sedang (2-12 Jam),Selesai,4.9,46,18,388,263,651
25249,Pencemaran Lingkungan,JAWA TIMUR,TUBAN,SEMANDING,-6.9047651,112.0626159,08/07/2025 23:02:13,3 - Sedang (2-12 Jam),Selesai,8.1,4,3,192,46,238
2526,Bantuan Kesehatan,JAWA TIMUR,TUBAN,SEMANDING,-6.90525,112.071,08/08/2025 06:34:13,2  - Tinggi (1-2 Jam),Selesai,1.8,19,1,136,237,373
24094,Bantuan Kesehatan,JAWA TIMUR,TUBAN,SEMANDING,-6.90665,112.065,08/06/2025 03:00:13,2  - Tinggi (1-2 Jam),Selesai,0.88,20,13,101,45,146
1772,Sampah,JAWA TIMUR,TUBAN,SEMANDING,-6.9068534,112.0794618,08/04/2025 01:21:13,4 - Rendah (>24 Jam),Selesai,16.25,18,4,305,173,478
15598,Pencemaran Lingkungan,JAWA TIMUR,TUBAN,TUBAN,-6.9,112.05,08/03/2025 14:23:13,3 - Sedang (2-12 Jam),Selesai,7.21,18,13,75,319,394
23647,Sampah,JAWA TIMUR,GRESIK,PANCENG,-6.917698,112.453237,08/04/2025 18:33:13,3 - Sedang (2-12 Jam),Selesai,9.11,39,7,72,179,251
28427,Bantuan Kesehatan,JAWA TIMUR,LAMONGAN,SOLOKURO,-6.93316,112.2984695,08/13/2025 10:13:13,3 - Sedang (2-12 Jam),Selesai,4.61,37,15,160,486,646
12798,Banjir,JAWA TIMUR,LAMONGAN,SOLOKURO,-6.934147,112.369541,08/05/2025 09:19:13,1 - Kritis (<30 Menit),Selesai,0.28,33,29,117,44,161
19261,Sampah,JAWA TIMUR,SUMENEP,ARJASA,-6.934862,115.327349,08/03/2025 22:28:13,3 - Sedang (2-12 Jam),Selesai,9.38,23,3,202,40,242
23103,Sampah,JAWA TIMUR,PAMEKASAN,WARU,-6.936163,113.558984,08/03/2025 13:19:13,4 - Rendah (>24 Jam),Selesai,13.09,36,32,499,129,628
8298,Sampah,JAWA TIMUR,SAMPANG,KETAPANG,-6.941249,113.276429,08/20/2025 11:46:13,3 - Sedang (2-12 Jam),Selesai,4.32,39,17,281,243,524
12222,Gangguan Keamanan,JAWA TIMUR,GRESIK,UJUNGPANGKAH,-6.94236,112.5525713,08/20/2025 08:54:13,1 - Kritis (<30 Menit),Selesai,0.29,16,0,92,51,143
21425,Bantuan Kesehatan,JAWA TIMUR,BANGKALAN,AROSBAYA,-6.942803,112.83916,08/03/2025 11:38:13,3 - Sedang (2-12 Jam),Selesai,8.06,36,34,100,139,239
14998,Banjir,JAWA TIMUR,PAMEKASAN,WARU,-6.943169,113.547873,08/14/2025 17:48:13,2  - Tinggi (1-2 Jam),Selesai,2,47,33,125,107,232
31881,Bantuan Kesehatan,JAWA TIMUR,BANGKALAN,KLAMPIS,-6.9480406,112.8861883,08/08/2025 00:24:13,2  - Tinggi (1-2 Jam),Selesai,0.59,31,28,244,313,557
12020,Sampah,JAWA TIMUR,PAMEKASAN,WARU,-6.94914,113.5454072,08/17/2025 11:40:13,4 - Rendah (>24 Jam),Selesai,14.01,48,41,38,498,536
